area,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,TOTAL 2001-2017
Mexico_Chihuahua_Matamoros,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4
Mexico_Chihuahua_Meoqui,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Mexico_Chihuahua_Morelos,5,12,14,26,25,44,30,31,19,69,18,84,44,16,4,25,31,497
Mexico_Chihuahua_Moris,2,4,0,16,30,51,8,10,7,98,34,23,18,8,16,5,17,347
Mexico_Chihuahua_Namiquipa,1,2,9,0,6,1,1,0,1,1,0,1,1,0,0,0,67,91
Mexico_Chihuahua_Nonoava,1,0,0,1,0,1,0,4,1,0,0,0,0,0,0,0,0,9
Mexico_Chihuahua_Nuevo Casas Grandes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico_Chihuahua_Ocampo,2,6,4,26,37,82,28,117,117,51,125,453,254,125,10,166,187,"1,791"
Mexico_Chihuahua_Ojinaga,10,17,3,6,1,5,1,16,3,20,29,24,0,0,0,0,0,134
Mexico_Chihuahua_Praxedis G. Guerrero,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico_Chihuahua_Riva Palacio,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,4
Mexico_Chihuahua_Rosales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico_Chihuahua_Rosario,2,0,0,0,1,0,0,1,0,1,0,3,2,0,0,0,0,10
Mexico_Chihuahua_San Francisco de Borja,0,0,0,0,0,0,0,1,0,0,0,0,10,5,0,0,0,17
Mexico_Chihuahua_San Francisco de Conchos,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3
Mexico_Chihuahua_San Francisco del Oro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico_Chihuahua_Santa Bárbara,0,1,0,1,8,1,0,1,0,1,0,1,2,0,0,0,0,15
Mexico_Chihuahua_Satevó,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Mexico_Chihuahua_Saucillo,1,1,1,4,1,3,0,1,1,0,1,1,0,0,0,0,0,15
Mexico_Chihuahua_Temósachic,1,20,14,73,189,31,11,40,15,12,129,33,154,103,3,13,113,955
Mexico_Chihuahua_Urique,7,35,11,62,16,73,48,23,23,36,90,747,57,27,7,8,23,"1,293"
Mexico_Chihuahua_Uruachic,8,12,4,48,5,17,18,25,18,28,34,256,71,15,2,10,1,573
Mexico_Chihuahua_Valle de Zaragoza,1,1,0,1,0,2,0,1,1,0,0,0,0,0,0,0,0,7
Mexico_Coahuila_Abasolo,0,5,6,1,0,0,0,0,3,1,0,0,0,0,0,0,0,17
Mexico_Coahuila_Acuña,9,16,24,24,40,160,19,42,9,16,349,9,10,5,2,4,0,739
Mexico_Coahuila_Allende,49,5,5,3,11,4,17,6,0,4,3,26,1,1,0,2,2,137
Mexico_Coahuila_Arteaga,3,294,4,2,5,258,7,344,4,95,167,16,62,29,0,4,1,"1,293"
